Name,Team,Level,Age,AB,PA,H,1B,2B,3B,HR,RBI,SB,R,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Sam Hilliard","COL","AAA",31,361,414,104,50,25,12,17,66,15,64,0.11352657,0.260869565,0.435185185,0.288088642,0.367149758,0.565096952,0.93224671,0.27700831,7.61511428683997,0.36099585,1.7644197642803192,74.40847987729562,13.607278652968526,0.39566551467168676,114.45027854461958,"17954"
"Edwin Rios","CIN","AAA",31,472,546,116,65,23,2,26,94,0,69,0.115384615,0.329670329,0.35,0.245762711,0.336996336,0.468220338,0.805216674,0.222457627,2.447208613922566,0.330882352,-1.5827801628038287,79.11849402429841,7.665158441088424,0.3558936174754258,111.68557064305178,"18316"
"P.J. Higgins","CIN","AAA",32,371,408,89,65,16,1,7,42,0,36,0.071078431,0.183823529,0.386666666,0.239892183,0.299754299,0.345013477,0.644767776,0.105121294,1.8762475969537578,0.280821917,-1.2867125254124403,38.19048607487142,-15.203215240054725,0.29485807811305914,72.46861311066914,"18433"
"Nick Senzel","LAD","AA,AAA",30,365,425,92,61,17,2,12,66,8,52,0.110588235,0.183529411,0.602564102,0.252054794,0.34117647,0.408219178,0.749395648,0.156164384,5.001352224630802,0.283687943,0.23279024474322796,53.65534132794065,-8.40632113739328,0.3372726633020167,91.41932863260455,"19293"
"Nick Solak","PIT","AAA",30,419,482,139,101,23,1,14,73,10,76,0.099585062,0.13692946,0.727272727,0.331742243,0.410788381,0.491646778,0.902435159,0.159904535,4.5016485537096695,0.364431486,-0.6927851475775242,88.68803371371455,25.61018068970866,0.40240583247719447,142.61222995199307,"19294"
"Donovan Walton","PHI","AAA",31,434,504,117,88,16,0,13,64,4,69,0.109126984,0.132936507,0.820895522,0.269585253,0.355864811,0.396313364,0.752178175,0.126728111,2.7696930134215103,0.288088642,-2.2912947786971927,67.5713639421402,1.614438788407897,0.3429792543568934,101.01577253525413,"19314"
"Jose Rojas","NYY","AAA",32,446,517,128,57,35,4,32,105,15,77,0.125725338,0.208897485,0.601851851,0.286995515,0.379110251,0.598654708,0.977764959,0.311659193,6.022637431148923,0.310679611,1.0356284193694592,102.75701261242844,35.09881756385779,0.41996193729167763,152.4988679734387,"19331"
"Yonny Hernandez","NYM","AA,AAA",27,366,417,111,91,16,3,1,38,10,52,0.091127098,0.093525179,0.974358974,0.303278688,0.379562043,0.371584699,0.751146742,0.068306011,5.03834527194349,0.337423312,-1.3528708601370454,58.840655712246786,5.197965143084418,0.34930784600536996,106.11073877773734,"19432"
"Zack Short","HOU","AAA",30,385,475,77,44,18,0,15,46,5,55,0.164210526,0.252631578,0.65,0.2,0.341052631,0.363636363,0.704688994,0.163636363,2.9563960042869724,0.243137254,-1.0000089867971838,56.12249920484045,-13.637333117757054,0.32831188553257995,90.84290320668084,"19562"
"Nate Mondou","SDP","AAA",30,467,552,144,107,27,4,6,74,8,69,0.117753623,0.143115942,0.82278481,0.308351177,0.4,0.421841541,0.821841541,0.113490364,4.215673029397644,0.357512953,-2.844478976447135,89.94449317461552,8.876224875512737,0.3773032275352689,103.9953983663882,"19563"
"Bryan De La Cruz","NYY","AAA",28,369,411,97,66,15,1,15,49,8,47,0.08515815,0.250608272,0.339805825,0.262872628,0.330900243,0.430894308,0.761794551,0.16802168,4.544949366140807,0.322834645,0.2540739709511399,54.359486244967584,0.5731841850787491,0.3408503619423748,101.89289142956842,"19600"
"Bobby Dalbec","MIL","AAA",30,402,455,108,55,27,2,24,82,5,65,0.098901098,0.34065934,0.29032258,0.268656716,0.349450549,0.524875621,0.87432617,0.256218905,4.938728276839484,0.373333333,0.11179710272699594,75.59318967489656,16.048743355554905,0.38118285544643316,126.73964529056693,"19966"
"Conner Capel","ATL","AAA",28,367,414,86,63,10,3,10,39,21,43,0.101449275,0.200483091,0.506024096,0.234332425,0.314009661,0.359673024,0.673682685,0.125340599,6.2324725555356855,0.274368231,1.4639864368364215,43.514855606133175,-10.664047198718357,0.30854511376164384,83.06418668013235,"19983"
"Keston Hiura","COL","AAA",28,383,445,104,59,21,3,21,67,1,62,0.105617977,0.276404494,0.382113821,0.271540469,0.368539325,0.506527415,0.87506674,0.234986946,3.5789057268972515,0.34439834,-1.2001093933358788,74.87022178852664,9.5162736126195,0.38310554851819806,106.62752727956676,"20003"
"Gilberto Celestino","NYM","AAA",26,372,426,101,79,12,1,9,40,13,66,0.119718309,0.218309859,0.548387096,0.271505376,0.362352941,0.38172043,0.744073371,0.110215054,5.367594974043116,0.34074074,0.5679558105766773,57.61994532875288,1.8706395440505812,0.34441549693836887,100.448552191107,"20233"
"Corey Julks","CHW","AAA",29,436,487,131,85,30,1,15,58,18,77,0.098562628,0.20328542,0.484848484,0.300458715,0.373716632,0.47706422,0.850780852,0.176605505,5.486355140394241,0.360248447,1.0933145340532064,80.14478580218632,16.412598203242602,0.3792871166750328,117.6607701622145,"20311"
"CJ Alexander","LAD","AAA",28,413,466,105,61,23,6,15,66,7,66,0.10944206,0.278969957,0.392307692,0.254237288,0.334763948,0.447941888,0.782705836,0.1937046,6.22483217395752,0.333333333,-0.9388050572015345,62.64423069800954,-4.946054215768764,0.344926276130061,91.0050832402567,"20557"
"Alejo Lopez","OAK","AAA",29,414,482,111,88,16,2,5,48,17,61,0.099585062,0.13692946,0.727272727,0.268115942,0.364583333,0.352657004,0.717240337,0.084541062,5.804871022420918,0.307246376,0.7178268856368959,61.256150359087165,-9.531721597738091,0.33808473468075717,77.58349537035055,"21127"
"Luken Baker","LAD","AAA",28,345,409,77,38,21,0,18,56,0,47,0.14180929,0.254278728,0.557692307,0.223188405,0.334963325,0.44057971,0.775543035,0.217391305,1.06700243375,0.259911894,-0.7887897384352982,55.92090974274968,0.09293336693142606,0.34561124130682724,100.56480382673719,"21497"
"Coco Montes","TBR","AAA",28,375,415,82,55,19,0,8,38,7,44,0.077108433,0.296385542,0.260162601,0.218666666,0.286746987,0.333333333,0.62008032,0.114666667,3.924479198822703,0.299595141,-0.29368119314312935,35.19730804419922,-19.112461675639874,0.2843986578734524,62.684170692727726,"21547"
"Esteury Ruiz","OAK","AAA",26,411,494,125,78,25,6,16,61,63,97,0.129554655,0.180161943,0.719101123,0.304136253,0.411885245,0.510948905,0.92283415,0.206812652,9.155316622531146,0.355048859,5.7543108547106385,95.80798844720975,23.25776283170834,0.4112068673626321,136.6789839315051,"21780"
