Name,Team,Level,Age,AB,PA,H,1B,2B,3B,HR,R,RBI,SB,K%,BB%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Mark Canha","KCR","AA,AAA",36,38,45,9,6,1,0,2,6,6,0,0.2,0.133333333,0.666666666,0.236842105,0.355555555,0.421052631,0.776608186,0.184210526,1.4409340587500001,0.259259259,-0.11151990573853254,6.531841922896352,0.7551911662988333,0.35820393164952596,110.77884864895775,"11445"
"Dixon Machado","CHC","AAA",33,272,331,60,46,10,0,4,36,34,4,0.178247734,0.151057401,0.847457627,0.220588235,0.344512195,0.301470588,0.645982783,0.080882353,3.021812006585055,0.264150943,-0.9528947295621037,35.42304391254894,-7.8939049483347725,0.3108174152127126,75.67415437376982,"11472"
"Yolmer Sanchez","LAA","AAA",33,414,492,102,79,16,3,4,61,36,9,0.231707317,0.136178861,0.587719298,0.246376811,0.356557377,0.328502415,0.685059792,0.082125604,5.037976375532279,0.32885906,-0.882173138204962,57.72243730535963,-14.534062700362417,0.3274033773140829,75.42620420466334,"11602"
"Brandon Drury","LAA","AAA,CPX",32,192,228,41,27,10,1,3,26,17,0,0.20614035,0.140350877,0.680851063,0.213541666,0.337719298,0.322916666,0.660635964,0.109375,2.8935318139207187,0.267605633,-0.9624889278784394,24.538482228852935,-8.216914345882705,0.31495277708322467,70.21975060130434,"11615"
"Nick Martini","OAK","AAA",35,290,360,75,45,19,1,10,70,44,0,0.183333333,0.138888888,0.757575757,0.258620689,0.383333333,0.434482758,0.817816091,0.175862069,3.3928571400000003,0.294117647,-0.7927311947569251,56.07549630490901,3.2048865446245856,0.3694523534628266,97.12025816974472,"12005"
"Niko Goodrum","NYM","AAA",33,35,46,8,4,3,0,1,6,3,2,0.260869565,0.173913043,0.666666666,0.228571428,0.391304347,0.4,0.791304347,0.171428572,3.9780502308449206,0.304347826,-0.6338733304291964,7.1053198574921606,1.085441768064213,0.3672649342080821,115.12992341198124,"12092"
"Eddie Rosario","LAD","AAA",33,128,152,40,25,11,0,4,24,23,9,0.217105263,0.125,0.575757575,0.3125,0.388157894,0.4921875,0.880345394,0.1796875,5.253900844958628,0.375,0.48700929898768663,25.524894556002373,4.529407074646705,0.3820245091120402,125.12608501570674,"12155"
"Austin Barnes","SFG","AAA,CPX",35,39,46,8,8,0,0,0,7,2,0,0.152173913,0.130434782,0.857142857,0.205128205,0.326086956,0.205128205,0.531215161,0,2.64285714,0.25,-0.0941416216082871,3.360485239893829,-3.4026984134608154,0.27890022422956384,57.58150449551852,"12158"
"Ben Gamel","LAA","A+,AAA",33,178,214,50,25,14,1,10,30,26,2,0.271028037,0.154205607,0.568965517,0.280898876,0.401869158,0.539325842,0.941195,0.258426966,3.6379819811426914,0.363636363,-1.0515741165727377,41.90517954852798,11.938010353114393,0.41393501067830024,139.00636418970757,"12160"
"Jorge Alfaro","MIL","AAA",32,307,326,75,49,10,1,15,49,49,12,0.365030674,0.033742331,0.092436974,0.244299674,0.285276073,0.429967426,0.715243499,0.185667752,7.027530510714871,0.344827586,1.833241987042129,36.12630795718989,-6.536306328756005,0.31533680828802424,87.59401001764394,"12180"
